station_id,sensor_id,latitude,longitude,road_name,direction,station_type,district,county,city,state,zip_code
sensor_0,sensor_0,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_1,sensor_1,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_2,sensor_2,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_3,sensor_3,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_4,sensor_4,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_5,sensor_5,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_6,sensor_6,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_7,sensor_7,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_8,sensor_8,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_9,sensor_9,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_10,sensor_10,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_11,sensor_11,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_12,sensor_12,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_13,sensor_13,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_14,sensor_14,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_15,sensor_15,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_16,sensor_16,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_17,sensor_17,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_18,sensor_18,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_19,sensor_19,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_20,sensor_20,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_21,sensor_21,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_22,sensor_22,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_23,sensor_23,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_24,sensor_24,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_25,sensor_25,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_26,sensor_26,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_27,sensor_27,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_28,sensor_28,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_29,sensor_29,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_30,sensor_30,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_31,sensor_31,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_32,sensor_32,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_33,sensor_33,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_34,sensor_34,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_35,sensor_35,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_36,sensor_36,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_37,sensor_37,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_38,sensor_38,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_39,sensor_39,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_40,sensor_40,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_41,sensor_41,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_42,sensor_42,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_43,sensor_43,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_44,sensor_44,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_45,sensor_45,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_46,sensor_46,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_47,sensor_47,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_48,sensor_48,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_49,sensor_49,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_50,sensor_50,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_51,sensor_51,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_52,sensor_52,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_53,sensor_53,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_54,sensor_54,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_55,sensor_55,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_56,sensor_56,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_57,sensor_57,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_58,sensor_58,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_59,sensor_59,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_60,sensor_60,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_61,sensor_61,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_62,sensor_62,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_63,sensor_63,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_64,sensor_64,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_65,sensor_65,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_66,sensor_66,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_67,sensor_67,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_68,sensor_68,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_69,sensor_69,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_70,sensor_70,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_71,sensor_71,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_72,sensor_72,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_73,sensor_73,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_74,sensor_74,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_75,sensor_75,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_76,sensor_76,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_77,sensor_77,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_78,sensor_78,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_79,sensor_79,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_80,sensor_80,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_81,sensor_81,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_82,sensor_82,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_83,sensor_83,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_84,sensor_84,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_85,sensor_85,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_86,sensor_86,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_87,sensor_87,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_88,sensor_88,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_89,sensor_89,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_90,sensor_90,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_91,sensor_91,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_92,sensor_92,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_93,sensor_93,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_94,sensor_94,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
sensor_95,sensor_95,,,Bay Area Highway,Unknown,mainline,4,Bay Area,Various,CA,
