,0
0,400001
1,400017
2,400030
3,400040
4,400045
5,400052
6,400057
7,400059
8,400065
9,400069
10,400073
11,400084
12,400085
13,400088
14,400096
15,400097
16,400100
17,400104
18,400109
19,400122
20,400147
21,400148
22,400149
23,400158
24,400160
25,400168
26,400172
27,400174
28,400178
29,400185
30,400201
31,400206
32,400209
33,400213
34,400221
35,400222
36,400227
37,400236
38,400238
39,400240
40,400246
41,400253
42,400257
43,400258
44,400268
45,400274
46,400278
47,400280
48,400292
49,400296
50,400298
51,400330
52,400336
53,400343
54,400353
55,400372
56,400394
57,400400
58,400414
59,400418
60,400429
61,400435
62,400436
63,400440
64,400449
65,400457
66,400461
67,400464
68,400479
69,400485
70,400499
71,400507
72,400508
73,400514
74,400519
75,400528
76,400545
77,400560
78,400563
79,400567
80,400581
81,400582
82,400586
83,400637
84,400643
85,400648
86,400649
87,400654
88,400664
89,400665
90,400668
91,400673
92,400677
93,400687
94,400688
95,400690
96,400700
97,400709
98,400713
99,400714
100,400715
101,400717
102,400723
103,400743
104,400750
105,400760
106,400772
107,400790
108,400792
109,400794
110,400799
111,400804
112,400822
113,400823
114,400828
115,400832
116,400837
117,400842
118,400863
119,400869
120,400873
121,400895
122,400904
123,400907
124,400911
125,400916
126,400922
127,400934
128,400951
129,400952
130,400953
131,400964
132,400965
133,400970
134,400971
135,400973
136,400995
137,400996
138,401014
139,401129
140,401154
141,401163
142,401167
143,401210
144,401224
145,401327
146,401351
147,401388
148,401391
149,401400
150,401403
151,401440
152,401457
153,401464
154,401489
155,401495
156,401507
157,401534
158,401541
159,401555
160,401560
161,401567
162,401597
163,401606
164,401611
165,401655
166,401808
167,401809
168,401810
169,401811
170,401816
171,401817
172,401845
173,401846
174,401890
175,401891
176,401906
177,401908
178,401926
179,401936
180,401937
181,401942
182,401943
183,401948
184,401957
185,401958
186,401994
187,401996
188,401997
189,401998
190,402056
191,402057
192,402058
193,402059
194,402060
195,402061
196,402067
197,402117
198,402118
199,402119
200,402120
201,402121
202,402281
203,402282
204,402283
205,402284
206,402285
207,402286
208,402287
209,402288
210,402289
211,402359
212,402360
213,402361
214,402362
215,402363
216,402364
217,402365
218,402366
219,402367
220,402368
221,402369
222,402370
223,402371
224,402372
225,402373
226,403225
227,403265
228,403329
229,403401
230,403402
231,403404
232,403406
233,403409
234,403412
235,403414
236,403419
237,404370
238,404434
239,404435
240,404444
241,404451
242,404452
243,404453
244,404461
245,404462
246,404521
247,404522
248,404553
249,404554
250,404585
251,404586
252,404640
253,404753
254,404759
255,405613
256,405619
257,405701
258,407150
259,407151
260,407152
261,407153
262,407155
263,407157
264,407161
265,407165
266,407172
267,407173
268,407174
269,407176
270,407177
271,407179
272,407180
273,407181
274,407184
275,407185
276,407186
277,407187
278,407190
279,407191
280,407194
281,407200
282,407202
283,407204
284,407206
285,407207
286,407321
287,407323
288,407325
289,407328
290,407331
291,407332
292,407335
293,407336
294,407337
295,407339
296,407341
297,407342
298,407344
299,407348
300,407352
301,407359
302,407360
303,407361
304,407364
305,407367
306,407370
307,407372
308,407373
309,407374
310,407710
311,407711
312,408907
313,408911
314,409524
315,409525
316,409526
317,409528
318,409529
319,413026
320,413845
321,413877
322,413878
323,414284
324,414694
