--- Traffic Forecast Summary: Monday 08:00 ---
Overall MAE for this hour: 14.19 mph

Top 20 Sensor Comparison:
    sensor_index   latitude   longitude  actual_speed_mph  predicted_speed_mph  error_abs
0              0  37.283841 -121.974121         26.858334            64.218210  37.359875
1              1  37.250000 -122.144629         64.783330            65.477310   0.693977
2              2  37.457655 -122.040991         57.816666            65.183270   7.366608
3              3  37.525375 -121.812630         55.641666            65.240750   9.599087
4              4  37.402417 -122.038947         31.300000            65.324250  34.024250
5              5  37.642617 -121.942241         38.975000            65.680900  26.705902
6              6  37.605699 -121.842504         47.575000            66.528230  18.953228
7              7  37.546751 -122.070462         66.425000            66.473670   0.048668
8              8  37.588583 -121.969865         58.700000            65.396580   6.696583
9              9  37.506467 -122.396919         62.175000            64.846110   2.671108
10            10  37.254726 -122.185601         58.216667            65.800720   7.584053
11            11  37.508718 -122.449587         64.133330            66.049140   1.915810
12            12  37.729408 -121.916211         65.466670            64.658806   0.807861
13            13  37.281861 -122.094328         53.341667            66.017280  12.675613
14            14  37.361869 -122.318179         39.591667            66.446240  26.854576
15            15  37.678918 -121.857519         66.958336            66.161354   0.796982
16            16  37.306716 -121.992974         67.858330            65.818184   2.040146
17            17  37.807674 -122.216470         61.325000            65.522750   4.197750
18            18  37.330220 -122.089344         64.575000            64.932810   0.357811
19            19  37.400149 -122.034441         26.866667            65.328360  38.461693
